year,n,mean,ci_lo,ci_hi,metric,variant
1991,77,0.312969466698329,0.1791811845001075,0.43926366265543204,devotion_share,weighted_all
1992,77,0.2973842558619989,0.17017313624891273,0.42929409653207656,devotion_share,weighted_all
1993,71,0.27878321139776663,0.15951566162621333,0.40778641897377343,devotion_share,weighted_all
1994,76,0.4335025005315363,0.3038639629933353,0.5620678572841148,devotion_share,weighted_all
1995,79,0.18537996318695765,0.0955264991411643,0.2830086972234109,devotion_share,weighted_all
1996,77,0.23607420029842577,0.13362023598417963,0.35682794093986664,devotion_share,weighted_all
1997,84,0.27002105027849704,0.14925896275660205,0.407685878129555,devotion_share,weighted_all
1998,76,0.19567269147629823,0.09570584671863404,0.31963500105030035,devotion_share,weighted_all
1999,73,0.22840812451792813,0.11143214167950022,0.34815055630139813,devotion_share,weighted_all
2000,71,0.1832697013262751,0.08836654207789135,0.3000527007354328,devotion_share,weighted_all
2001,61,0.16884072442898138,0.06107223666477508,0.2866014929891643,devotion_share,weighted_all
2002,70,0.22024320535529934,0.11895810722262583,0.3483455099520199,devotion_share,weighted_all
2003,72,0.25239279755141314,0.13735996380193208,0.3705776953532132,devotion_share,weighted_all
2004,65,0.19627473806752038,0.08861618895958562,0.31433223052296516,devotion_share,weighted_all
2005,64,0.23169900136377633,0.11150307176659294,0.37008118619534713,devotion_share,weighted_all
2006,77,0.20720954943141998,0.08710439159727303,0.3248495101280476,devotion_share,weighted_all
2007,77,0.14039012594842112,0.04476288691050722,0.2607703101215369,devotion_share,weighted_all
2008,105,0.1077986426281384,0.038545610689753144,0.19084650108494247,devotion_share,weighted_all
2009,98,0.1772723464077236,0.0734614928128727,0.28250149732055324,devotion_share,weighted_all
2010,98,0.15464915644171778,0.06484931345664666,0.25989972798150346,devotion_share,weighted_all
2011,102,0.10125376175696456,0.028199683758726807,0.18800737729962425,devotion_share,weighted_all
2012,91,0.1334722312650563,0.04552526023175493,0.23201929658031817,devotion_share,weighted_all
2013,99,0.24247387952654617,0.11524245637506794,0.3817750859485141,devotion_share,weighted_all
2014,92,0.1601827185382517,0.06669660325204725,0.2640494742486375,devotion_share,weighted_all
2015,88,0.17630881052941755,0.07714648337444278,0.2841389447818921,devotion_share,weighted_all
2016,89,0.1813580570316593,0.06928328193050676,0.3175165908823858,devotion_share,weighted_all
2017,86,0.09194896612406511,0.001987421258762587,0.21034314191749115,devotion_share,weighted_all
2018,106,0.12777977044476327,0.048992591365050235,0.22648746071176487,devotion_share,weighted_all
2019,98,0.15507990153127216,0.03302487468076482,0.29621870089003255,devotion_share,weighted_all
2020,115,0.09587080734960776,0.022178451633982427,0.1845594984815295,devotion_share,weighted_all
2021,107,0.13117194738550964,0.03727904208094396,0.24554523657006308,devotion_share,weighted_all
2022,110,0.07267698621581835,0.002168179721363524,0.18301174925293534,devotion_share,weighted_all
2023,112,0.026236336188865245,0.002176530250449734,0.07562006768188158,devotion_share,weighted_all
2024,113,0.1413122271110437,0.01623979281389052,0.29128049366411657,devotion_share,weighted_all
2025,128,0.18050580898529117,0.06722678865071183,0.30614942489493807,devotion_share,weighted_all
2026,101,0.11914462308961186,0.03967156306017014,0.22932765824495424,devotion_share,weighted_all
1958,76,0.2631578947368421,0.17105263157894737,0.3684210526315789,devotion_share,unweighted_all
1959,79,0.26582278481012656,0.17721518987341772,0.3670886075949367,devotion_share,unweighted_all
1960,89,0.2247191011235955,0.14606741573033707,0.3146067415730337,devotion_share,unweighted_all
1961,106,0.12264150943396226,0.0660377358490566,0.18867924528301888,devotion_share,unweighted_all
1962,101,0.22772277227722773,0.1485148514851485,0.31683168316831684,devotion_share,unweighted_all
